SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC50646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50647,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,6,0,3,3,5,0,0,0,3,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,24
SSC50648,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,19,0,19,0,4,0,4,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,13,0,13,0,7,0,7,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,39,0,39
SSC50649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,19
SSC50650,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,7,0,3,0,3,0,3,3,7,0,5,0,5,0,7,0,7,0,3,0,3,0,0,0,0,0,28,3,30,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,9,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,20,3,26,0,0,0,0,0,3,0,3,0,6,0,3,0,6,0,4,0,4,0,3,0,3,0,3,0,9,4,11,0,6,0,6,0,6,0,6,0,3,0,3,0,0,0,0,0,51,5,55
SSC50651,0,0,0,0,0,9,7,14,0,12,0,12,0,9,0,9,0,12,0,12,0,20,0,26,0,23,3,23,0,29,6,32,0,20,0,24,0,4,0,7,0,3,0,7,6,137,21,163,0,3,3,5,0,22,3,26,0,7,0,11,0,14,3,12,0,15,0,14,0,13,4,16,0,22,3,25,0,22,3,33,0,10,0,14,0,3,3,8,0,0,0,0,10,141,24,168,0,4,3,10,3,32,9,41,0,19,3,18,0,15,3,22,0,29,0,29,0,31,9,42,0,48,6,54,3,49,11,63,0,30,3,38,0,12,3,15,0,3,0,6,16,273,39,336
SSC50652,0,12,3,18,0,55,6,68,0,13,0,12,0,5,0,7,3,38,4,43,0,44,10,51,0,53,8,61,7,63,15,85,7,61,9,79,0,20,3,28,0,0,0,6,22,373,66,458,0,26,5,29,0,36,6,46,0,3,0,3,0,12,0,8,0,51,4,57,3,43,9,53,4,46,5,51,3,50,8,58,6,63,9,72,0,25,0,30,0,4,0,4,19,347,45,415,0,39,7,50,4,93,13,108,0,12,0,19,0,20,0,21,3,87,12,100,4,86,16,102,4,97,6,109,8,116,21,147,12,119,19,152,6,46,4,59,0,8,0,11,37,722,112,871
SSC50653,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,9,0,9,0,4,0,5,3,16,3,18,0,17,5,19,0,3,0,6,0,0,0,0,8,62,4,71,0,3,0,3,0,7,0,7,0,0,0,0,0,3,0,3,0,5,0,5,0,10,0,10,0,13,3,14,0,13,0,19,0,8,0,11,0,6,0,9,0,0,0,0,0,61,3,71,0,4,0,4,0,9,0,9,0,0,0,0,0,4,0,4,0,7,0,10,0,16,0,16,0,19,0,19,3,29,3,38,0,26,5,34,0,5,0,7,0,0,0,0,4,124,12,138
SSC50654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,6
SSC50655,0,14,0,14,3,27,0,32,0,23,0,23,0,12,0,12,0,13,0,13,0,27,0,27,0,59,3,63,3,57,4,64,3,35,3,42,4,14,0,20,3,3,0,6,13,278,16,308,0,0,0,0,0,32,3,33,0,32,0,32,0,25,0,26,0,13,0,16,0,33,0,38,0,61,3,60,0,51,0,52,3,35,0,39,3,7,0,13,0,0,0,0,12,295,9,313,0,11,0,11,3,61,3,67,0,51,0,51,0,34,0,33,0,32,0,27,0,60,5,68,0,118,3,125,3,107,3,112,5,67,8,81,7,23,0,30,3,3,0,9,24,575,25,621
SSC50656,0,0,0,0,0,8,0,13,0,3,0,3,0,6,0,5,0,3,0,3,0,7,0,13,0,11,0,14,0,11,4,15,0,8,0,8,0,0,0,0,0,0,0,0,0,63,9,74,0,0,0,0,0,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,12,0,15,0,7,3,10,0,10,0,10,0,3,0,3,0,0,0,0,0,51,7,60,0,3,0,3,0,20,3,20,0,4,0,4,0,7,0,8,0,3,0,3,0,14,0,20,0,22,5,31,0,20,5,25,0,17,0,17,0,7,0,5,0,0,0,0,0,112,21,135
SSC50657,0,4,0,4,0,7,0,6,0,0,0,0,0,3,0,3,0,3,0,3,0,7,0,4,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,29,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,24,0,4,0,4,0,10,7,12,0,0,0,0,0,3,0,3,0,6,0,6,0,8,0,15,0,9,3,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,58
SSC50658,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,6,0,6,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,29,0,31
SSC50659,8,308,14,332,35,643,25,706,11,282,17,318,4,294,13,318,14,648,35,701,8,590,28,631,3,532,22,561,11,387,20,424,31,226,14,277,20,71,5,98,13,9,3,27,175,4003,215,4385,0,291,17,309,16,580,27,621,5,280,14,291,0,256,5,267,12,666,28,710,16,611,33,658,29,540,23,589,25,420,19,459,26,224,14,270,29,56,6,93,24,4,5,36,182,3934,195,4307,12,600,31,639,54,1223,55,1326,14,560,34,606,6,548,24,582,28,1317,68,1412,22,1200,66,1283,33,1073,47,1151,35,804,41,885,64,448,33,542,48,133,15,197,38,13,12,62,355,7929,409,8690
SSC50660,0,20,0,16,0,22,0,21,0,3,0,3,0,3,0,3,0,16,0,21,0,28,3,34,3,26,0,33,0,19,0,17,0,24,0,26,0,11,0,11,0,0,0,0,5,174,10,196,0,11,3,15,0,28,0,29,0,4,0,7,0,5,0,5,0,26,3,31,0,22,0,23,0,23,3,22,0,15,4,19,0,9,5,19,3,10,0,10,0,0,0,0,8,162,13,181,0,31,4,29,0,48,0,55,0,10,0,10,0,12,0,12,0,47,4,48,0,52,3,57,0,49,3,58,0,31,3,36,4,37,5,47,3,27,0,29,0,0,0,0,11,336,28,377
SSC50661,0,0,0,0,0,0,3,6,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,15,0,3,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,12,0,3,0,4,0,0,3,6,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,11,0,4,0,4,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,29,5,30
SSC50662,4,103,3,110,7,409,12,431,9,240,8,258,5,175,0,180,3,139,0,144,3,281,13,291,4,543,25,568,9,348,24,383,11,141,7,151,6,52,0,58,4,4,0,8,63,2434,92,2585,0,113,0,113,4,408,10,417,3,238,7,247,3,196,6,205,0,145,4,149,3,359,11,369,3,582,11,599,9,352,3,366,8,133,3,149,10,45,3,61,9,8,0,10,50,2570,53,2680,4,216,3,226,12,817,21,850,8,478,10,500,5,370,7,384,5,282,3,287,5,635,21,661,4,1126,34,1173,13,704,32,746,18,275,3,296,21,100,3,123,13,11,0,22,114,5006,142,5265
SSC50663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,9,0,0,5,4,0,7,0,7,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,8,0,0,5,4,0,7,0,7,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,34
SSC50664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SSC50665,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,18,0,22,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,17,0,0,0,0,0,4,0,4,0,3,0,3,0,3,0,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,33,4,38
SSC50666,0,182,8,186,3,287,14,303,6,139,8,156,3,141,14,156,3,411,34,452,0,382,23,410,4,378,32,409,14,307,19,336,23,151,4,174,22,61,15,97,21,20,0,48,95,2464,177,2731,0,132,8,136,3,279,16,296,0,142,3,146,6,182,15,202,3,433,42,476,10,414,35,455,7,410,26,443,7,338,25,371,25,166,14,206,37,85,9,126,42,30,0,76,146,2616,192,2948,0,311,14,326,9,569,24,599,9,284,12,299,9,323,25,355,5,846,77,928,13,799,58,870,12,790,59,852,24,641,46,708,48,319,22,386,54,148,21,229,67,54,3,122,241,5077,360,5674
SSC50667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,3,0,3,0,7,0,7,0,3,0,3,0,0,0,0,0,20,0,20
SSC50668,4,226,26,259,12,206,11,233,7,116,8,131,3,218,21,241,10,1017,92,1116,6,542,55,606,16,360,34,418,8,315,25,346,18,208,18,246,27,106,17,150,23,42,14,80,140,3355,327,3827,0,213,24,239,0,219,11,236,0,123,6,133,0,293,20,313,9,1106,94,1217,12,514,35,561,19,395,43,451,28,359,31,425,27,275,32,345,56,196,27,283,128,55,44,226,290,3760,376,4428,8,440,50,495,14,426,24,473,5,240,15,261,8,507,35,553,14,2121,188,2332,23,1056,93,1167,33,753,78,868,43,675,54,768,51,492,56,592,83,305,48,433,154,98,57,306,432,7114,708,8251
SSC50669,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,13,0,0,0,0,0,3,3,4,0,0,0,0,0,4,4,9,0,0,0,0,0,4,7,8,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,25
SSC50670,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,0,3,0,6,0,6,0,7,3,12,0,0,0,0,0,0,0,0,0,34,3,40,0,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,11,3,17,0,3,0,10,0,0,0,0,0,0,0,0,0,32,6,37,0,0,0,3,0,6,0,6,0,5,0,5,0,0,0,0,0,6,4,4,0,3,0,4,0,9,0,9,0,23,3,23,0,8,4,13,0,0,0,4,0,0,0,0,0,60,11,73
SSC50671,0,0,0,0,0,10,0,10,0,3,0,5,0,0,0,0,0,4,0,4,0,7,0,5,0,5,0,7,0,4,0,4,0,4,0,3,0,3,0,3,0,0,0,0,0,38,5,44,0,3,0,3,0,3,0,5,0,5,0,5,0,0,0,0,0,3,0,3,0,5,3,11,0,0,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,36,3,39,0,3,0,3,0,8,0,13,0,4,0,6,0,0,0,0,0,5,0,5,0,11,0,19,0,8,0,6,0,15,0,15,0,8,0,13,0,3,0,3,0,0,0,0,3,74,6,88
SSC50672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50673,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,5,0,6,0,6,0,3,0,3,4,4,0,9,0,0,0,0,0,0,0,0,8,32,0,40,0,3,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,32,0,6,0,6,0,15,0,15,0,4,0,4,0,0,0,0,0,5,0,5,0,4,0,8,0,14,0,14,0,7,0,3,4,8,0,8,0,0,0,0,0,0,0,0,8,57,3,70
SSC50674,0,0,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,3,0,3,0,10,0,5,0,5,0,0,0,0,0,0,0,0,6,25,0,30,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,7,0,7,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,24,0,3,0,0,0,9,0,9,0,0,0,3,0,0,0,0,0,4,0,4,0,14,0,14,0,9,0,6,0,12,3,9,0,3,0,3,0,0,0,0,0,0,0,0,6,49,3,52
SSC50675,0,6,0,3,0,5,0,5,0,0,0,0,0,3,0,3,0,7,0,7,0,4,0,9,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,30,3,32,0,4,0,4,0,8,0,8,0,0,0,0,0,0,0,0,0,8,3,10,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,32,0,4,0,8,0,11,0,12,0,0,0,0,0,4,0,4,0,13,3,12,0,8,0,9,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,4,0,0,0,0,0,59,4,68
SSC50676,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,0,9,0,13,0,13,0,23,3,23,0,6,0,6,0,0,0,0,0,61,3,68,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,4,0,14,0,14,0,17,0,16,0,9,0,9,0,3,0,3,0,0,0,0,0,58,0,58,0,5,0,5,0,5,0,5,0,3,0,3,0,0,0,0,0,10,0,10,0,9,0,8,0,23,0,23,0,28,0,29,0,31,5,37,0,10,0,10,0,0,0,0,4,121,5,125
SSC50677,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0,0,0,11,0,11,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,4,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,34,0,32
SSC50678,0,11,0,11,3,19,0,22,0,5,3,5,0,7,0,8,0,17,0,17,0,13,0,10,0,23,0,23,0,22,0,29,0,27,0,26,3,3,0,4,0,0,0,0,4,139,8,154,0,3,0,3,0,14,0,13,0,6,0,6,0,12,0,12,0,13,0,13,0,17,0,14,3,22,0,27,0,27,3,25,0,16,5,18,3,4,0,7,3,0,0,3,8,128,9,145,0,12,0,12,3,32,0,40,0,12,3,17,0,18,0,21,0,23,0,27,0,23,3,30,3,44,0,45,0,52,3,53,0,44,3,46,7,6,0,9,3,0,0,3,12,275,18,300
SSC50679,0,62,0,57,11,153,4,169,0,85,5,90,0,178,15,194,4,127,13,143,0,118,9,127,0,180,21,205,0,201,6,209,8,135,12,152,3,34,3,38,4,4,0,5,27,1282,87,1393,0,48,0,48,3,133,3,134,3,84,3,85,0,91,9,105,0,119,14,131,3,144,4,150,6,193,8,208,3,193,10,213,9,133,11,149,7,30,0,37,8,5,0,9,34,1170,62,1267,0,109,0,111,16,287,6,304,3,173,10,183,3,276,21,298,4,248,26,277,3,261,6,274,6,376,27,409,5,395,22,415,13,268,16,298,6,65,3,70,6,7,0,16,62,2449,143,2657
SSC50680,0,112,3,116,18,257,7,280,6,160,0,171,0,131,3,134,8,183,7,196,3,205,19,224,6,285,24,318,3,171,13,183,0,92,8,103,0,35,0,40,0,3,0,3,51,1621,82,1755,0,94,5,99,3,217,8,229,0,128,3,135,3,124,6,133,9,194,6,213,4,245,12,259,12,298,9,321,9,170,10,187,10,96,3,116,8,35,0,39,3,4,0,7,50,1613,68,1732,0,207,9,214,16,472,11,507,14,287,3,306,4,255,12,266,13,381,13,410,7,452,29,486,17,583,35,633,6,336,19,367,12,193,16,216,6,67,3,76,3,9,0,15,102,3236,147,3488
SSC50681,0,4,0,4,0,5,0,7,0,3,0,3,0,3,0,0,0,7,3,7,0,10,0,10,0,12,0,13,0,11,0,11,0,12,0,17,0,3,0,3,0,0,0,0,3,74,6,79,0,6,0,8,0,14,0,13,0,4,0,4,0,0,0,5,0,11,0,10,0,11,3,7,0,18,0,13,0,17,0,20,0,10,0,10,0,0,0,0,0,0,0,0,4,79,9,90,0,9,0,12,0,20,0,18,0,6,0,6,3,3,0,7,0,15,5,18,0,15,3,19,0,25,0,27,0,26,0,27,0,19,0,22,0,3,0,3,0,0,0,0,5,157,14,173
SSC50682,0,40,0,43,0,69,10,83,0,26,3,28,0,25,0,32,0,51,6,53,0,63,6,69,0,102,14,110,3,67,14,86,3,46,4,58,3,19,0,25,0,4,0,4,19,518,50,586,0,41,3,48,3,69,6,82,0,31,3,37,0,24,5,32,0,62,0,60,0,74,7,80,4,106,12,119,0,67,9,69,3,46,3,50,4,20,3,24,0,0,0,8,14,537,57,606,0,84,4,91,3,140,17,163,0,55,9,60,0,54,6,58,0,106,8,114,0,135,15,150,0,203,25,230,9,135,15,157,5,91,6,110,5,39,4,48,6,8,0,14,35,1052,109,1192
SSC50683,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,4,0,3,0,4,0,3,0,3,0,0,0,0,3,17,0,20
SSC50684,0,3,0,3,0,11,0,12,0,0,0,0,0,0,0,0,0,4,0,7,0,10,0,9,0,16,0,20,0,12,0,13,0,17,3,18,0,3,0,3,0,0,0,0,0,71,8,83,0,7,0,7,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,4,0,12,0,12,0,10,3,11,0,7,0,9,0,15,3,18,0,3,0,3,0,0,0,0,0,72,6,79,0,12,0,12,0,19,0,21,0,0,0,0,0,3,0,3,0,9,0,10,0,21,0,23,0,22,4,25,0,22,3,23,0,28,3,40,0,10,0,10,0,0,0,0,0,144,14,161
